iso3,country,year,gdp_current_usd,global_gdp_total,gdp_share,gdp_log,gdp_rank,gdp_share_change
SOM,"Somalia, Fed. Rep.",1960,180459936.776025,1275737895100.353,0.00014145533927392627,8.25638080087699,91,0.0
TGO,Togo,1960,171057069.137772,1275737895100.353,0.00013408480675751675,8.233141026630335,92,0.0
GUY,Guyana,1960,170216241.126064,1275737895100.353,0.0001334257152506035,8.231000995789218,93,0.0
BHS,"Bahamas, The",1960,169736027.157764,1275737895100.353,0.000133049294694199,8.229774032860945,94,0.0
MUS,Mauritius,1960,162089563.829564,1275737895100.353,0.0001270555373890603,8.209755053607687,95,0.0
GAB,Gabon,1960,141468977.799846,1275737895100.353,0.00011089188331175007,8.150661215496832,96,0.0
COG,"Congo, Rep.",1960,131731862.783017,1275737895100.353,0.00010325934762066044,8.119690833102919,97,0.0
RWA,Rwanda,1960,119000024.0,1275737895100.353,9.327936753861116e-05,8.075547048981324,98,0.0
FJI,Fiji,1960,112328422.113084,1275737895100.353,8.804976519432148e-05,8.050489658355113,99,0.0
CAF,Central African Republic,1960,112155598.492157,1275737895100.353,8.791429565814891e-05,8.049820957219616,100,0.0
SUR,Suriname,1960,99650000.0,1275737895100.353,7.811165630708278e-05,7.998477303036506,101,0.0
BRB,Barbados,1960,80021846.9453826,1275737895100.353,6.272593081440749e-05,7.903208570898656,102,0.0
BMU,Bermuda,1960,72400000.0,1275737895100.353,5.675146930890912e-05,7.859738566197147,103,0.0
OMN,Oman,1960,44234656.4535004,1275737895100.353,3.467378105125644e-05,7.645762658691724,104,0.0
SWZ,Eswatini,1960,35076845.9692616,1275737895100.353,2.749533905356191e-05,7.54502053567099,105,0.0
LSO,Lesotho,1960,34579986.1680055,1275737895100.353,2.710587049331583e-05,7.538824815220146,106,0.0
BWA,Botswana,1960,30411413.6552828,1275737895100.353,2.3838292937822116e-05,7.483036608517004,107,0.0
BLZ,Belize,1960,28072478.0724781,1275737895100.353,2.200489472037659e-05,7.448280751277144,108,0.0
VCT,St. Vincent and the Grenadines,1960,13066634.0000817,1275737895100.353,1.0242412685447306e-05,7.116163726565948,109,0.0
KNA,St. Kitts and Nevis,1960,12366635.7500773,1275737895100.353,9.693712005869753e-06,7.092251569160537,110,0.0
SYC,Seychelles,1960,12012024.6246505,1275737895100.353,9.415746503089964e-06,7.079616213831545,111,0.0
USA,United States,1961,561940310344.828,1348994512562.71,0.4165623396623753,11.749690186984378,1,-0.0082808732644169
DEU,Germany,1961,96558204043.1028,1348994512562.71,0.07157790720710151,10.984789179402634,2,0.00524778860965687
GBR,United Kingdom,1961,77741965703.3544,1348994512562.71,0.057629564078556954,10.890655517557493,3,0.000224380793363399
FRA,France,1961,67158050215.0488,1348994512562.71,0.04978378309891521,10.827098078872543,4,0.001216529493527227
JPN,Japan,1961,57266758179.5883,1348994512562.71,0.04245143893936053,10.757902598783566,5,0.0052813913484078615
